Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 15:47:34 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_123_20211005194906/ (120.7 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_123_20211005194906_121/ (120.7 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_124_20211005195054/ (163.4 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_124_20211005195054_122/ (163.4 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_125_20211005195855/ (119.1 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_125_20211005195855_123/ (119.1 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_126_20211005205049/ (126.8 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_126_20211005205049_124/ (126.8 MB, 1696d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_127_20211006175610/ (115.8 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_127_20211006175610_125/ (115.8 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_128_20211006175822/ (170.6 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_128_20211006175822_126/ (170.6 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_129_20211006180036/ (150.0 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_129_20211006180036_127/ (150.0 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20210728175233/ (123.3 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20210728175233_11/ (123.3 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20210816191725/ (2.1 MB, 1746d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20210816191725_22/ (2.1 MB, 1746d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20211206180503/ (18.5 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20220124184833/ (283.4 KB, 1585d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20220224185757/ (113.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_12_20220224185757_14/ (113.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_130_20211006180342/ (175.8 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_130_20211006180342_128/ (175.8 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_132_20211006184759/ (187.7 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_132_20211006184759_129/ (187.7 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_133_20211006192934/ (62.5 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_133_20211006192934_130/ (62.5 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_134_20211006194848/ (182.2 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_134_20211006194848_131/ (182.2 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_135_20211006212347/ (311.4 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_135_20211006212347_132/ (311.4 MB, 1695d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_136_20211007131403/ (398.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_136_20211007131403_133/ (398.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_137_20211007134644/ (258.4 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_137_20211007134644_134/ (258.4 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_138_20211007143322/ (222.0 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_138_20211007143322_135/ (222.0 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_139_20211007150839/ (244.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_139_20211007150839_136/ (244.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20210728175425/ (22.2 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20211206180549/ (11.2 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20211206180549_9/ (11.2 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20220124185714/ (283.4 KB, 1585d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20220224190105/ (439.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_13_20220419154403_9/ (26.6 MB, 1500d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_140_20211007155001/ (246.7 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_140_20211007155001_137/ (246.7 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_141_20211007174915/ (188.5 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_141_20211007174915_138/ (188.5 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_142_20211007175905/ (106.4 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_142_20211007175905_139/ (106.4 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_143_20211007181628/ (125.6 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_143_20211007181628_140/ (125.6 MB, 1694d old)
